review,sentiment
"This movie starts out very VERY slow, but when the action finally gets started, it's a little had to follow. I couldn't understand why some of the events were taking place, and a lot of events happened before they were explained, making them sort of confusing. The only thing it really has going for it is the massive amount of blood/gore it has, although most times the special effects are lacking. Blood looks like red Kool-Aid. Skin tearing sounds like somebody is stepping on a pile of sticks. Again, the story has a sort of amateur feel to it, like the writer didn't take a long time to perfect it. I feel like it could be a much better movie if the effects were done better and more time was taken on the script. I honestly wish I hadn't watched it, not because of the gore, but because I feel that i wasted 90 minutes of my life. If you like extremely gory movies, this is for you, if not, stay away.",negative
"I thought that this movie was pretty lame. If you're looking for cheesey, you may like this. I, myself, don't mind a fair amount of cheese, but this was ridiculous. The progression of the movie bored me and the storyline was very weak.<br /><br />The only thing entertaining about this movie was the day-glo zombies, but even that isn't reason enough to see this flick.",negative
"Here's a decent mid-70's horror flick about a gate of Hell in NYC that just happens to be an old brownstone. Seems like there's lots of gates of Hell around, but of course this unwitting model happens to decide she needs some space from her boyfriend/fiancée and so she just happens to pick one, which is disguised as a nice and reasonably priced apartment. She meets several strange neighbors, and even attends a birthday party for a cat. Upon meeting with the Realtor because she hears strange noises at night from upstairs, she finds out that she and an old priest are SUPPOSED to be the only tenants. Whoa! Then who are all these weirdos? Her boyfriend (a slimy lawyer, played by Chris Sarandon) starts poking around and finds that things are not what they seem, not by a long shot. This has some decent creepy scenes and the idea of the creaky old folks that are her ""sometimes"" neighbors being other than what they appear is fairly intriguing. A bit of decent gore and even a parade of less-than-normal folks towards the end make this a decent watch, and while I've seen this many times on TV the uncut DVD version is much better, of course. Not a bad little horror flick, maybe a good companion piece to ""Burnt Offerings"". 8 out of 10.",positive
"It's hard to believe that oprah winfrey produced this piece of junk, the show couldn't even hold a candle to cooking shows of the past, including emeril lagasse, rachael ray is the most annoying talk show and cooking show host in TV history, not since ainsley harriott has had a terrible cooking show host I've watched, at least ainsley harriott has some good moments and some style, this one has no style at all, she's terrible as host, the kitchen looks atrocious, the writing is horrible, the teleplay is over the top and the opening credits are so bad, it makes me sick. Now I Enjoy cooking shows that had a cool sense of style, but this has absolutely none of that<br /><br />This is one of the worst TV of the year.",negative
"I don't know why people except a lot from low budget indie films but I enjoyed this one as I'm a fan of urban horror. There's not too many urban horror movies out there so when I saw this one on the shelf, just the title alone peaked my curiosity. So I decided to check it out and I was surprised...it's not too often you run into a low budget indie horror film with GREAT acting and a good story. Is it low budget? yes. Can you tell that it's low budget? Yes...but once you start watching the movie you become so wrapped up in the story that it doesn't matter. I like hip hop music too and the soundtrack is nice! I don't know what's up with all these bad reviews for this film. All I hear is ""worst movie ever"". Have these idiots seen EVERY movie out there? There's thousands of movies out there, how can you categorize one as the ""worst"" ever? A video not ""movie"" like ""zombiez"" may be the worst film I ever SEEN but I can't say that it's the worst movie EVER since I haven't seen every movie out there. Bottom line these people who gave this movie bad reviews are probably from the suburbs. Listen, if you don't like minority based, urban films, the ghetto films, hip hop,etc then WHY WATCH THESE TYPES OF MOVIES???!!! knowing that you don't like this type of stuff? Sure, this is a horror film but it's not just a horror film but it's an URBAN horror film with a multi-cultural based cast. I don't like TV shows like Dawson's Creek or the O.C., THEY SUCK to me. Films like ""Garden State"", ""Wedding Crashers"" and ""I heart huckabees"" SUCK to me. I'm a guy from New Jersey and these shows and movies suck to me. Why? Because I can't relate to them. They don't peak my interest. Just common sense. Believe me, I will never watch GARDEN STATE 2: GARDEN SALAD, WEDDING CRASHERS 2: Here's a sequel to torture you again since the first sucked so bad and I HEART HUCKABORING. Now back to this movie, in regards to saint405's comment above, I don't know if this guy was smoking crack or got knocked ""stupid"" by his drunken dad before he watched the movie but to me, everyone did a great job. The actor who played Ricky (I forgot his name) did a VERY good job. I'm an aspiring actor myself taking theater at my school and I had to do a play where I had to cry and it's not easy to be emotional in a scene so I give props to actors who have to do an emotional scene and can pull it off. Anywho, I liked this movie and never heard of these actors and directors before but you bet I'll be looking out for their stuff for now on and if they are reading this, BRING ON THE SEQUEL!!! I'm out. Jerzee Representin'!",positive
"You got to see it to believe it. Shot in Hollywood on the strip in the middle of the sleazy, anything goes 70s, this cheaply made flick must of really packed the inner city theatres back in the day. Then again, I bet it had a one week run. Actually, its pretty hilarious. The acting is dreadful, the direction non existent, but the hair, clothes, rotten pre disco music and the general out and out sleaziness of the story are mind boggling. Sleazy, its very sleazy. Highly recomended (if you can find it)",positive
"I never saw Doctor Who before (at least not in any focused way), so I was new to the concept. I have to say that the new show works very well. It's funny (it really also ought to say ""Comedy"" in the genre description; many plot turns are only acceptable because of their comedic value), it's well-written and it's making a meager budget go a long way. The human dimension is very strong and engaging, which is very rare in current TV shows.<br /><br />I've seen the first eight episodes, and #6-8 were my favorites so far. Even types of stories that are all too easy to screw up (with time-travel, saving one's dead parents and that sort of stuff) works out amazingly well here.<br /><br />Christopher Eccleston is a joy to watch as the witty and light-hearted though occasionally morose Doctor - if they can find a good replacement for him, I'll be quite surprised. But I'm willing to give the new guy a chance. There's little doubt, however, that the Eccleston episodes are going to go down in history as classics.<br /><br />The relationship between the Doctor and Rose is particularly refreshing. The Doc is much more of a father figure to her than a romantic interest, and yet there are hints of romantic innuendo between them, which however is much more emotional and human than sexual.<br /><br />A good show. The biggest drawback is the low budget - a show like this ought to have better special effects. And why they don't simply use some cheaper effects, I don't know. In this day and age, SFX don't have to cost a bundle - just look at the Star Wars: Revelations fan film.<br /><br />8 out of 10.",positive
"This star-studded British/Spanish co-production looks great, what you can see of it. I have three versions, two VHS, one DVD, and all are terribly cropped, so badly that it looks as if buildings are having conversations with each other. Few films suffer as badly from pan and scan as this one, as director Robert Parrish seems to have been so enamored with the widescreen process that he tended to use both sides of the screen at once, neglecting the middle. Another user comments that we see the entire inhabitants of a church massacred at the beginning; not in any of the copies I have. There are some abrupt cuts of peasants firing their rifles, one Mexican officer is shot, Shaw and Landau celebrating, and that's it. We never find out why Shaw has become a priest (if he really is), we never find out what happens to Don Carlos (Savalas) although I suspect he was called home to star in Kojak, as his departure seems arbitrary. And there is a strange flashback sequence where Michael Craig (Mysterious Island) is dancing around in a bowler hat and bad suit in the great old English music hall tradition to the 1960 hit BATTLE OF NEW ORLEANS, not sung by Johnny Horton here but with some lyrics I've never heard before. On the plus side, the location is great, a huge old ruined fortress with Escher-style stairs leading nowhere, some nice scenery-chewing by Robert Shaw, and good performances by Stevens, Landau, Lettieri, and Telly Savalas as Telly Savalas. I didn't really like this film, but I haven't exactly seen it. I will seek the widescreen version and make my decision then.",negative
"The first 50 minutes of this movie were quite boring. It focused on the personal problems Doyle had, including his sick wife, death threats by fans, a pushy publisher and feelings of guilt concerning his mentally ill father. Even though these subjects had an important impact on Doyle's life, I was more curious about the birth of Sherlock Holmes. The last 40 minutes were excellent. We finally got a look inside Doyle head, how he created Holmes and why he had to 'kill' Holmes. The actors are excellent. Including the intriguing Selden played by Tim McInnerny, Arthur Conan Doyle, a compelling role played by Douglas Henshall and Brian Cox as the 'role model' for Sherlock Holmes, Dr. Bell. The locations are good, especially for a TV movie and the camera work is nice. If the first 50 minutes were as good the the last 40 minutes this would have been a small masterpiece.",positive
"Being from the Philadelphia suburbs and extremely interested in local history, this film provides an excellent vintage view of Philadelphia in the 1940s. There are scenes of downtown, a train station that no longer exists, 30th Street Station--which still does exist, as well as scenes from the Northeast part of the city. Good shots of the old row-homes as they appeared then. The movie gets a bit ""chatty"" at times - causing the viewer to briefly lose interest...but the overall storyline is solid and very moving. Anyone who enjoyed this movie should also try to see the film ""Bright Victory"", also with local footage of the Valley Forge Army Hospital in Phoenixville, PA - and scenes from downtown Phoenixville. The Army Hospital has since become a college campus. Neither of these films are out on any format and I can't imagine why. I have them both on VHS from home recording, as shown on TCM in recent years. I highly recommend them to any other history buffs out there from my area!",positive
"I love this show! Mr. Blick, Gordon, and Waffle are cats so different from each other, yet they refer to themselves collectively as 'brothers.' I often find myself trying to imitate the tired, sighing accent of their butler, Hovis, or even the Scottish borough of Gordon. There should be more episodes made about Human Kimberly. The episode about the cats disguising themselves as pre-teen girls to gain admittance to Human Kimberly's slumber party in order to get their thirsty paws on their favorite drink, Rootbeer, is a hilarious classic. We can't drink rootbeer in our house now without either doing the Catscratch voices or the Hanson Brothers from the movie 'Slap Shot.' Future classic. Where can I get the first two seasons on DVD??",positive
"The most satisfying element about ""Dan in Real Life"" is that the relationship between Dan (Steve Carell) and Marie (Juliette Binoche) makes sense and is beautifully realistic. The casting of Oscar-winner Juliette Binoche as Dan's love interest was a superb decision; she is exceptionally talented, intelligent, naturally attractive and, thank goodness, appropriately aged for the part! Had this movie been made with Jessica Alba or Scarlett Johansson, it would have been a disaster.<br /><br />Another wonderful aspect about ""Dan in Real Life"" is that it is a perfect film for adults who are interested in a mature comedy that leaves out the three pillars of the ""frat pack"" formula: dumb chicks, chauvinistic guys, and sleazy jokes. ""Dan in Real Life"" is witty and has fun, intelligent laughs throughout. Whereas other comedies incorporate or are almost entirely based on jokes that shock the audience into laughing, the jokes from ""Dan in Real Life"" are more natural and clever, and involve some thinking on the part of the audience.<br /><br />My only problem with ""Dan in Real Life"" is that the rebellious, middle daughter is played too outrageously by actress Brittany Robertson. It's difficult to say if this was a personal choice on her part or a choice by the director. Either way, her character is unrealistic and annoying. But, this is only a minor flaw in the film, and does not take away from the story as a whole.<br /><br />All in all, ""Dan in Real Life"" is a great film, a fantastic escape from the redundancy of offensive and dumbed-down comedies. The quality of the writing, directing, acting, and (especially) cinematography is excellent. It is simply a beautiful, light-hearted comedy.",positive
"What's with the murky video in the beginning and sporadically throughout the movie? It's like someone put muddy water on the camera lens.<br /><br />The violence and nudity might turn some people off but, that, along with the mostly bad acting is what makes a good cult movie I suppose.<br /><br />My favorite line is delivered by Tarquin the Vampire, ""Alas, your breed is dumb."" Okay, no one should ever say ""alas"" in a movie line unless they're English and living in the 18th century.<br /><br />The acting by the Van Helsing character and bad girl ""Rally"" isn't bad. I also liked Master Little played by Ron Little. Wicked martial arts! Don't take it too seriously and you'll enjoy it.",negative
